Järjestelmäkaappi;;;;;;;;;
IO-kaappi;Asema;Positio;Kortti;IBC;Slot;Kanava;;Huom.;Revisio
CR01;FP01;RESERVI;DI8P;1;7;4;;;
CR01;FP01;RESERVI;DI8P;1;7;5;;;
CR01;FP01;RESERVI;DI8P;1;7;6;;;
CR01;FP01;RESERVI;DI8P;1;7;7;;;
CR01;FP01;LS261;DI8N;1;8;0;;;
CR01;FP01;RESERVI;DI8N;1;8;1;;;
CR01;FP01;RESERVI;DI8N;1;8;2;;;
CR01;FP01;RESERVI;DI8N;1;8;3;;;
CR01;FP01;RESERVI;DI8N;1;8;4;;;
CR01;FP01;RESERVI;DI8N;1;8;5;;;
CR01;FP01;RESERVI;DI8N;1;8;6;;;
CR01;FP01;RESERVI;DI8N;1;8;7;;;
CR01;FP01;TT207;AI8H;1;9;0;;;
CR01;FP01;EC208;AI8H;1;9;1;;;
CR01;FP01;RESERVI;AI8H;1;9;2;;;
CR01;FP01;RESERVI;AI8H;1;9;3;;;
CR01;FP01;FT222;AI8H;1;9;4;;;
CR01;FP01;FT223;AI8H;1;9;5;;;
CR01;FP01;PT226;AI8H;1;9;6;;;
CR01;FP01;PT227;AI8H;1;9;7;;;
CR01;FP01;PT234;AI8H;1;10;2;;;
CR01;FP01;RESERVI;AI8H;1;10;3;;;
CR01;FP01;FT235;AI8H;1;10;4;;;
CR01;FP01;TT250;AI8H;1;10;5;;;
CR01;FP01;TT251;AI8H;1;10;6;;;
CR01;FP01;TT252;AI8H;1;10;7;;;
CR01;FP01;TT253;AI8H;1;11;0;;;
CR01;FP01;TT254;AI8H;1;11;1;;;
CR01;FP01;TT255;AI8H;1;11;2;;;
CR01;FP01;TT256;AI8H;1;11;3;;;
CR01;FP01;TT257;AI8H;1;11;4;;;
CR01;FP01;TT258;AI8H;1;11;5;;;
CR01;FP01;XT259;AI8H;1;11;6;;;
CR01;FP01;RESERVI;AI8H;1;11;7;;;
CR01;FP01;RESERVI;AI8H;1;12;0;;;
CR01;FP01;RESERVI;AI8H;1;12;1;;;
CR01;FP01;RESERVI;AI8H;1;12;2;;;
CR01;FP01;RESERVI;AI8H;1;12;3;;;
CR01;FP01;RESERVI;AI8H;1;12;4;;;
CR01;FP01;RESERVI;AI8H;1;12;5;;;
CR01;FP01;RESERVI;AI8H;1;12;6;;;
CR01;FP01;RESERVI;AI8H;1;12;7;;;
CR01;FP01;TV207;AO4H;1;13;0;;;
CR01;FP01;FV222;AO4H;1;13;1;;;
CR01;FP01;FV223;AO4H;1;13;2;;;
CR01;FP01;PV234;AO4H;1;13;3;;;
CR01;FP01;FV235;AO4H;1;14;0;;;
CR01;FP01;TV250;AO4H;1;14;1;;;
CR01;FP01;RESERVI;AO4H;1;14;2;;;
CR01;FP01;RESERVI;AO4H;1;14;3;;;
CR01;FP01;RESERVI;AO4H;1;15;0;;;
CR01;FP01;RESERVI;AO4H;1;15;1;;;
CR01;FP01;RESERVI;AO4H;1;15;2;;;
CR01;FP01;RESERVI;AO4H;1;15;3;;;
